config_id,fold,method,reduction_objective,candidate_mean_abs_correlation,candidate_turnover,portfolio_turnover,risk_on,candidate_jaccard
P_K10P6_CP30_NONE,0,AUR,4.5987897166894145,0.08746338798933634,1.0,0.5,True,0.6666666666666666
P_K10P6_CP30_NONE,0,QAUR,4.631249024035853,0.08374586353943173,1.0,0.5000000000000001,True,0.6666666666666666
P_K10P6_CP30_NONE,1,AUR,4.461648201815681,0.08721797831668353,0.9,1.0,True,1.0
P_K10P6_CP30_NONE,1,QAUR,4.461648201815681,0.08721797831668353,0.8,1.0,True,1.0
P_K10P6_CP30_NONE,2,AUR,4.585958201763032,0.08867116045640717,0.7,0.9800000000000002,True,0.6666666666666666
P_K10P6_CP30_NONE,2,QAUR,4.599541446649074,0.09933515489531672,0.6,0.9800000000000002,True,0.6666666666666666
P_K10P6_CP30_NONE,3,AUR,4.669944522711679,0.07754651164406386,0.6,0.9800000000000002,True,0.5384615384615384
P_K10P6_CP30_NONE,3,QAUR,4.681300347813627,0.07739762048040287,0.5,0.7500000000000002,True,0.5384615384615384
P_K10P6_CP30_NONE,4,AUR,4.958323121965933,0.08496419880439325,0.5,0.7950381061210849,True,0.8181818181818182
P_K10P6_CP30_NONE,4,QAUR,4.986491928502073,0.07356442385061955,0.5,0.9600000000000001,True,0.8181818181818182
P_K10P6_CP30_NONE,5,AUR,4.935055226975987,0.08764900775608758,0.4,0.6018223547472705,True,0.5384615384615384
P_K10P6_CP30_NONE,5,QAUR,4.960029387172903,0.07039752980970797,0.30000000000000004,0.7100000000000004,True,0.5384615384615384
P_K10P6_CP30_NONE,6,AUR,4.495785339246836,0.09671636825427969,0.5,0.3334232905822594,True,0.6666666666666666
P_K10P6_CP30_NONE,6,QAUR,4.686042885125528,0.07205147992238091,0.4,0.5083782555117581,True,0.6666666666666666
P_K10P6_CP30_NONE,7,AUR,4.93214687789736,0.09761874978538078,0.6,0.9237108047311869,True,0.5384615384615384
P_K10P6_CP30_NONE,7,QAUR,4.951032510175877,0.09481744081401274,0.5,0.8724543286329032,True,0.5384615384615384
P_K10P6_CP30_NONE,8,AUR,5.062891960058015,0.10178720523786787,0.5,0.5000000000000049,True,0.8181818181818182
P_K10P6_CP30_NONE,8,QAUR,5.073711615730504,0.08763104840742707,0.30000000000000004,0.5200000000000019,True,0.8181818181818182
P_K10P6_CP30_NONE,9,AUR,4.6511741114722795,0.1154612502686467,0.6,0.7099999999999991,True,0.6666666666666666
P_K10P6_CP30_NONE,9,QAUR,4.719229668208851,0.10829321856318745,0.4,0.6491466795140016,True,0.6666666666666666
P_K10P6_CP30_NONE,10,AUR,4.953412070979288,0.09459111747284865,0.6,0.9799999999999992,True,0.42857142857142855
P_K10P6_CP30_NONE,10,QAUR,5.054585020849672,0.08070612045993711,0.6,0.9191466795139986,True,0.42857142857142855
P_K10P6_CP30_NONE,11,AUR,5.0003646973001405,0.08065263410606058,0.5,0.5000000000000034,True,0.8181818181818182
P_K10P6_CP30_NONE,11,QAUR,5.068310201210859,0.06657037837536976,0.19999999999999996,0.49120504777352375,True,0.8181818181818182
P_K10P6_CP30_NONE,12,AUR,4.894244978234443,0.08642629790855974,0.5,0.4800000000000046,True,0.8181818181818182
P_K10P6_CP30_NONE,12,QAUR,4.904585554577207,0.07477144040168829,0.5,0.52,True,0.8181818181818182
P_K10P6_CP30_NONE,13,AUR,4.782207203168172,0.093325782221461,0.5,0.5563440305479469,True,1.0
P_K10P6_CP30_NONE,13,QAUR,4.782207203168172,0.093325782221461,0.6,0.7300000000000006,True,1.0
P_K10P6_CP30_NONE,14,AUR,4.546553909166356,0.10060987591675533,0.7,0.9800000000000001,True,0.8181818181818182
P_K10P6_CP30_NONE,14,QAUR,4.62592661789538,0.09575484469490488,0.7,0.98,True,0.8181818181818182
P_K10P6_CP30_NONE,15,AUR,4.623161908448354,0.08929510554703544,0.7,0.7659456255145806,True,0.5384615384615384
P_K10P6_CP30_NONE,15,QAUR,4.8292566008057705,0.0678174122859923,0.6,0.7299999999999999,True,0.5384615384615384
P_K10P6_CP30_NONE,16,AUR,5.278084114627786,0.06287096226928683,0.6,0.5190237947102312,True,0.6666666666666666
P_K10P6_CP30_NONE,16,QAUR,5.301011610356565,0.06893091385273004,0.6,0.491378279186359,True,0.6666666666666666
P_K10P6_CP30_NONE,17,AUR,5.31510656205181,0.061449947334223744,0.7,0.5763201777409067,True,0.8181818181818182
P_K10P6_CP30_NONE,17,QAUR,5.330294177579442,0.05764566375692083,0.7,0.7413782791863589,True,0.8181818181818182
P_K10P6_CP30_NONE,18,AUR,5.218334930459653,0.051701438323439534,0.4,0.22861121042254778,True,0.5384615384615384
